xid,name,rate,osm,wikidata,kinds,point.lon,point.lat
N2183905593,Banc-reposoir napoléonien,7,node/2183905593,Q14628636,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.242144584655762,48.86967086791992
W228213300,Le Meisenthal,7,way/228213300,Q3556076,"architecture,historic_architecture,cultural,museums,interesting_places,other_museums,restaurants,foods,tourist_facilities,other_buildings_and_structures",7.3510518074035645,48.966217041015625
N5096600063,Kleinblittersdorf,7,node/5096600063,Q17521469,"railway_stations,industrial_facilities,interesting_places",7.033544540405273,49.157981872558594
W109222908,Sankt Mauritius,7,way/109222908,Q2321502,"religion,churches,interesting_places,catholic_churches",7.144486427307129,49.196311950683594
W237654461,Église protestante (Wimmenau),7,way/237654461,Q15954162,"religion,churches,interesting_places,other_churches",7.415212631225586,48.91222381591797
W236717249,Chapelle Notre-Dame de Mouterhouse,7,way/236717249,Q2385577,"religion,churches,interesting_places,other_churches",7.444520950317383,48.98928451538086
N5937162921,Chapelle notre Dame de Bon Secours,7,node/5937162921,Q2385577,"religion,churches,interesting_places,other_churches",7.443883895874023,48.9891357421875
N1991622297,Rothenburg Castle,7,node/1991622297,Q179549,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.575541973114014,49.02455139160156
W416477168,Ponts Couverts,7,way/416477168,Q3397780,"bridges,architecture,interesting_places,other_bridges",7.739350318908691,48.58007049560547
N3203228224,Anciennes glacières,7,node/3203228224,Q1313630,"factories,industrial_facilities,interesting_places",7.741947650909424,48.58073425292969
N1005016227,Angle des ponts couverts et de la rue du Cygne (Centre),7,node/1005016227,Q3397780,"bridges,architecture,interesting_places,other_bridges",7.74019718170166,48.57912063598633
N492764727,"Monument à Desaix, Strasbourg",7,node/492764727,Q15952797,"historic,monuments_and_memorials,interesting_places,monuments",7.754034042358398,48.575469970703125
N1005016288,Rue Sainte-Madeleine (Krutenau),7,node/1005016288,Q692407,"religion,churches,interesting_places,other_churches",7.753819942474365,48.579708099365234
R368604,Palais Universitaire,7,relation/368604,Q3361224,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.762594223022461,48.584800720214844
N1005016071,Devant le Palais universitaire (Krutenau),7,node/1005016071,Q3361224,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.76087760925293,48.58533477783203
N1945272848,"Palais Universitaire, Strasbourg",7,node/1945272848,Q3361224,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",7.763067245483398,48.58589172363281
N5075431838,Maison des Anneaux,7,node/5075431838,Q14627715,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.788189888000488,48.81325149536133
W901352799,Schwarzach Bahnhof,7,way/901352799,Q1959136,"railway_stations,industrial_facilities,religion,churches,interesting_places,other_churches",8.046807289123535,48.74436950683594
N413519689,Münster Schwarzach,7,node/413519689,Q1959136,"religion,churches,interesting_places,other_churches",8.047345161437988,48.745853424072266
N4344606770,Friedrichsturm,7,node/4344606770,Q93975095,"towers,architecture,interesting_places,observation_towers",8.275059700012207,48.66880416870117
N2999570466,Terrasse Restaurant Yburg,7,node/2999570466,Q2599898,"view_points,other,towers,architecture,interesting_places,other_towers",8.200118064880371,48.730690002441406
N261286257,Yburg Plattform unten,7,node/261286257,Q2599898,"view_points,other,towers,architecture,interesting_places,other_towers",8.200228691101074,48.730533599853516
W48290641,Yburg,7,way/48290641,Q2599898,"towers,architecture,historic_architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures,other_towers",8.200127601623535,48.73065948486328
N6751323184,Yburg,7,node/6751323184,Q2599898,"towers,architecture,interesting_places,other_towers",8.20193862915039,48.730411529541016
W93597545,Brenner's Park Hotel,7,way/93597545,Q909303,"architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",8.239886283874512,48.75605773925781
W43326656,Trinkhalle,7,way/43326656,Q2453648,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.236635208129883,48.761741638183594
N6413340793,Baden-Baden Trinkhalle,7,node/6413340793,Q2453648,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.236757278442383,48.762298583984375
W906633376,Baden-Baden Bahnhof,7,way/906633376,Q442698,"railway_stations,industrial_facilities,interesting_places",8.190961837768555,48.78958511352539
N6359383969,Baden-Baden Bahnhof,7,node/6359383969,Q442698,"railway_stations,industrial_facilities,interesting_places",8.19143295288086,48.78984069824219
